TAX	SRR17301512	SRR17301513	SRR17301514	SRR17301515	SRR17301516	SRR17301517	SRR17301518	SRR17301519	SRR17301520	SRR17301521	SRR17301522	SRR17301523	SRR17301524	SRR17301525	SRR17301526	SRR17301527	SRR17301528	SRR17301529	SRR17301530	SRR17301531	SRR17301532	SRR17301533	SRR17301534	SRR17301535	SRR17301536	SRR17301537	SRR17301538	SRR17301539	SRR17301540	SRR17301541	SRR17301542	SRR17301543	SRR17301544	SRR17301545	SRR17301546	SRR17301547	SRR17301548	SRR17301549	SRR17301550	SRR17301551	SRR17301552	SRR17301553	SRR17301554	SRR17301555	SRR17301556	SRR17301557	SRR17301558	SRR17301559	SRR17301560	SRR17301561	SRR8849198	SRR8849199	SRR8849200	SRR8849201	SRR8849202	SRR8849203	SRR8849204	SRR8849205	SRR8849206	SRR8849207	SRR8849208	SRR8849209	SRR8849210	SRR8849211	SRR8849212	SRR8849213	SRR8849214	SRR8849215	SRR8849216	SRR8849217	SRR8849218	SRR8849220	SRR8849221	SRR8849222	SRR8849223	SRR8849224	SRR8849225	SRR8849226	SRR8849227	SRR8849228	SRR8849229	SRR8849230	SRR8849231	SRR8849232	SRR8849233	SRR8849234	SRR8849235	SRR8849236	SRR8849237	SRR8849238	SRR8849239	SRR8849240	SRR8849241	SRR8849242	SRR8849243	SRR8849244	SRR8849245	SRR8849246	SRR8849247	SRR8849248	SRR8849249	SRR8849250	SRR8849251	SRR8849252	SRR8849253	SRR8849254	SRR8849255	SRR8849256	SRR8849257	SRR8849258	SRR8849259	SRR8849260	SRR8849261	SRR8849262	SRR8849263	SRR8849264	SRR8849265	SRR8849266	SRR8849267	SRR8849268	SRR8849269	SRR8849270	SRR8849271	SRR8849272	SRR8849273	SRR8849274	SRR8849275	SRR8849276	SRR8849277	SRR8849278	SRR8849279	SRR8849280	SRR8849281	SRR8849282	SRR8849283	SRR8849284	SRR8849285	SRR8849286	SRR8849287	SRR8849288	SRR8849289	SRR8849290	SRR9330774	SRR9330775	SRR9330776	SRR9330777	SRR9330778	SRR9330779	SRR9330780	SRR9330782	SRR9330783	SRR9330784	SRR9330785	SRR9330786	SRR9330787	SRR9330788	SRR9330789	SRR9330790	SRR9330791	SRR9330792	SRR9330793	SRR9330794	SRR9330795	SRR9330796	SRR9330797	SRR9330798	SRR9330799	SRR9330800	SRR9330801
Segatella_copri	0	0	0	0	0	0	0	0	0.14251	0	0	0	1.46048	2.6306	3.35796	0	19.3892	0	4.95856	0	0	0	0.30309	0	0.00087	0	0	0	0	0	0	0	0.16229	0	0	0.65037	0.75963	1.46731	0	0	0	0	4.58008	0	0	0.47389	1.82668	0	0	2.98356	0	0	0.02904	0	0.01155	0	0	0	0	0	0.01418	48.01923	0.11936	0	0.05589	0.00692	0	0.00334	0	0.00771	0	0.60386	0	0.00561	0	0	0.02003	4.75402	0.04997	0	0.00981	0.00259	0	0.00063	0	0	0.08498	0.00234	0	0	0	0.27912	36.92727	0.02717	24.28439	5.4358	0.03021	0.04657	0.75817	0.00043	0.04726	0.00746	0.0005	0	4.57687	58.62885	16.54446	0	0	0.04076	1.10884	0	0	0	0.03073	82.65239	0.00235	5.95075	20.33979	0.05401	0.28956	0.01156	23.98285	0.13121	1.7124	29.02803	0	0.00058	0.00058	0	0.00165	0	0	0.03636	0	15.63004	10.95823	6.55926	0	21.51996	32.13522	0	0.00294	15.46403	0	0	0	0	0	44.70464	0.02573	0	0	0	65.03206	0.02524	0.0229	10.06449	0	0.02653	0.15133	0.00101	0	0	0	0.02247	0	0	54.19757
Phocaeicola_plebeius	0	0.06268	0	0	0	0.2307	0	1.63772	0.12099	0.16006	0	0	1.24983	0.53476	1.04112	0	2.89332	0	0.03253	0	0	5.07742	0.2085	0	0	0	0.00203	0.08064	0	1.2225	0	0	0.03687	0	0	0.3854	0	0	0	0	0	1.23038	1.90613	0	0	0	0	0	0	0	0	2.36996	0	0	0	0	0	0	0	0	0	0	0.01119	1.17576	0.00092	0	0	0	0	3.93156	0.93752	24.43726	0.52237	0	6.84764	0.00021	6.26733	4.4926	0.00181	0	4.68117	19.87264	0	0	0	3.79373	0.01774	0	0	0	23.59841	0.07947	0.29991	0.00131	2.70731	0.44723	0	0.01095	0.38587	0	0.12956	0	0	0.08633	1.19342	1.90105	1.17971	4.79259	7.02036	0.02784	0.02355	0	0.00111	5.10438	1.03044	4.37243	0.0231	1.25465	0	0.00605	0.02012	0	0.05535	0	0.71965	2.63032	0	1.84199	4.19477	0.11054	0	2.0464	0	0.70875	0	0	1.83176	0.00382	0	0	0	0	3.41234	3.04613	0.00062	0.00162	0.00275	0.00179	0.00337	2.38677	0.12514	0.0086	32.25317	45.39495	5.53188	0.00179	61.75744	4.9224	0.00134	0.00434	0.01155	0.00348	49.34553	0.0116	0.00252	0.00558	0.00688	0.14009	6.83389
Phocaeicola_vulgatus	0.24503	0.0966	1.98883	0	0.22443	1.03358	17.76403	0	0.15486	1.34261	0.19142	0.83156	0.75389	0	0	8.93184	0.66528	0.00214	0.00894	0	2.17785	5.6542	0.08802	0.22452	29.07642	0.17327	0.31085	0.18973	0.02257	1.31026	0	4.77178	1.23075	0	4.85761	0.22812	2.18046	0.62777	3.72946	0.07469	0.11179	1.10251	1.53655	0.95341	0.02425	0.2282	0.12488	0	0.42659	0	11.68821	10.30191	7.0227	17.20763	8.84703	7.87197	27.43399	9.62552	15.22173	15.91755	7.15202	8.6821	3.40105	1.87515	11.63829	6.93423	4.50733	1.14529	0.00208	0.1601	2.88756	4.10474	2.43689	2.76465	4.87018	19.89905	19.47703	4.99811	16.43681	1.53491	6.99014	4.15766	24.91012	6.13629	8.05975	3.83652	9.18912	7.81775	8.44187	3.16353	8.57875	21.52758	0.19283	0.48349	1.08156	0.2227	0.12849	0.81708	1.25281	2.57818	0.62842	0.00301	0.58103	1.24001	1.30401	0.76405	1.15408	0	1.26667	0.10362	0.03195	0	0.39413	0.2124	0.01588	0.80841	0.0723	1.36871	0.68128	0.02189	0.17326	0.00238	0.34392	0.18088	0.11126	0.91666	0.85276	0.49992	0.97755	0.01658	0.00299	0.66438	0	1.69226	4.97916	0.70116	1.04567	0.26985	1.78458	3.64212	2.66078	0.01895	0.01777	7.26076	3.17716	23.98436	10.29628	4.42393	22.66447	1.39843	17.13562	3.63803	8.56005	30.23047	3.36743	14.7458	15.27349	1.56146	6.54769	14.86437	44.25755	10.95857	5.33004	15.34458	26.36043	61.62025	6.08058	52.01699	0.13563
Megamonas_funiformis	0	0	0	0	0.01451	0	0	0	2.70856	0	0	0.08345	6.51726	1.94925	2.05905	0	0.91982	0.00171	0	0	35.12124	0	0	39.46407	0.15422	0	0.0001	2.05229	0.01173	0	60.75331	0.10168	1.21167	0	4.713	0.23405	1.08916	0	0.00092	0	0	0.00096	0.65023	0.00538	3.41112	0.00161	0	0.22117	0.04332	0.01854	0	0	0	0	0.05167	0	0	0	0	0	0.00807	0.00562	0.20382	0.84009	0.00508	0	0	0.00251	0.00201	0	0	8.18839	0	0.00153	12.56217	0	0.00075	5.5032	0.0101	0.05824	0	6.06192	0	0	0	2.77943	0.01273	0	0	0	9.86263	0.08379	7.06251	0.38771	0	0	0.0043	0.02827	0	0	1.90307	0	0	0	0.60987	0	43.27517	0	0.72653	0.01039	0	0	0.01083	25.55222	21.78192	0.01134	0	0	0	0	0.84903	0	4.09451	0	0	27.43682	0	0.7686	0	0.00232	0	0.00517	0	33.93879	0	22.74728	1.25083	0	0.00046	0	23.44164	0	0	0.50546	0.01546	0	0	0	0	0.31577	0.95472	0	0	0	0.09168	0.23386	0	0.33791	0	0	0	0.34779	0	0	0	0	0.27184	0	0
Clostridium_leptum	0.00369	0.07244	0.09634	0	0	0.37959	0	0.9285	0	0.17691	1.21384	0.0609	0.09966	0.25046	0.22946	2.50542	0.0423	0.00349	0	0	0	0.00249	0.01253	2.00763	0	0.77148	0	0	0.12376	0.0205	0	0.01992	0.06147	0	0	0.0265	0.00998	0.2994	0	0.3065	0.09355	0.95782	0	0	0	0.05541	0	0.5963	0.00886	0.04285	0	0.02202	0	0	0.11952	0.01311	0	0	0	0	0.40847	0	0	0.03957	0.09802	0.0896	0.19676	0.03208	0	0.20022	0	0.00705	0	0	0.50631	0	0	0.06695	0	3.19648	0	0.16635	0.06887	0.20666	0.07938	0.09911	0.02955	0	0	0	0	0.19001	0.00165	0.21325	0.0077	0.15922	0.26174	19.40831	0.02738	0	0.06019	0	0.04209	0.00951	0.08098	0.00053	0.00155	0.0877	0.01944	0.00926	0.23808	0.02071	0.79974	0.05538	0	0	0.01954	0.32849	1.05279	0.32109	0.03687	0	0.00639	0.00196	0.05267	0.00943	0.01369	0.01989	0.02144	0.03359	0.10751	0.00404	0.05872	0.00863	0.04074	0.0106	0.01481	0.21152	0.03295	0	0	0.22365	0.00063	0.08227	0.00162	0.03296	0.00324	0.09676	0	0.00076	0	53.09758	0.00876	0	0.00085	0.01751	0	0.00196	0.27984	0	0	0.00664	0.97018	0.00047	0	0	0.65451	0.04387	0
Faecalibacterium_prausnitzii	1.7706	2.54334	0.00246	0	7.06952	24.77949	0.60497	2.99674	13.22208	28.29703	7.53984	7.05989	30.91262	3.6536	2.90282	3.35469	22.77442	0	24.67922	5.22966	0.80822	8.07252	3.58	12.32592	11.41705	2.20016	0.00619	2.16163	7.18548	5.16455	0	12.3304	10.47816	0	3.25435	1.78574	8.13108	1.70671	2.03696	8.79372	3.95126	9.38458	12.15229	4.43818	9.55121	9.19011	0	4.61056	5.41287	5.2485	7.46503	10.76456	8.3655	11.5153	7.25426	11.45748	0	7.79942	18.92737	12.13168	12.83891	10.37751	19.1429	19.88498	15.31676	8.91664	11.54238	11.05766	10.27644	15.75539	11.61232	8.0771	29.30808	17.10326	16.5571	11.18825	1.07369	17.35374	15.73607	7.45688	9.5397	9.93365	13.29577	13.29457	14.41744	16.08024	16.99714	23.1429	23.69205	12.01855	6.13706	6.90391	4.83124	3.62812	6.08241	8.2444	6.89486	3.27008	4.75208	13.95972	12.87385	9.94305	15.72978	18.19137	12.67823	7.48217	11.39808	7.64106	8.22124	8.86879	16.10081	25.33704	21.84338	5.8235	13.17616	1.39157	42.3974	7.35655	15.08307	2.85309	5.17643	0.05638	2.1381	6.68026	22.2297	4.86291	12.97797	16.93289	30.38619	22.18481	18.63395	24.53069	14.46915	3.33833	32.10913	4.83253	10.35834	10.89744	6.82898	7.4207	7.75018	3.33228	0	0.6348	0.37592	4.17185	3.78809	5.90861	2.16793	2.58734	0.53796	0.91258	1.56724	1.69571	1.35206	3.1301	0	2.87211	8.08148	0.00131	3.86754	0.89722	0.56131	1.73476	0.60041	0	0.38317	1.2032	0.87925
Ruminococcus_gnavus	0.0826	0.36859	5.63826	3.18657	1.12321	2.49774	7.1022	0.23597	0	0.00822	3.9815	4.26489	0.02104	0.00606	0.00676	0.57377	0.03323	1.94	0.00134	0.06087	7.23223	0.01809	0	8.33994	5.13448	0.28329	13.67534	35.2519	0.06256	0.05657	9.97145	2.56924	0.80476	38.65396	7.73759	0.00581	0.01599	0.02462	15.19252	0.30884	0.03	0.01633	0.20465	0.00234	0.6419	1.0373	12.19986	0.19601	0.2331	0.15228	0.14685	0.0407	0	0.01861	0.55908	0	2.00594	0.05541	0.37552	0.14302	0	0.115	0.58962	0.00692	2.60391	0.77756	0	0	0.01837	0.3177	0	0.00293	0	0.05903	0	0.60903	0.69639	0.00965	0.44854	0	0.03815	0.0135	0.00665	0.00149	0	0.03119	0.33613	0.0321	0.56008	0.03286	0.16477	1.12876	0	3.39792	0	0	6.74869	0.04323	0.00112	0.00744	0.00067	0.00088	0	0	0.00397	0	0.00142	0.00252	0.02866	0.00118	0	0.04012	0.02075	0.01758	0.12751	0.00079	1.38926	0	0.01478	0	0	2.30092	0.02458	0	0.10347	0	0.01261	0.01065	0.00407	0.04923	0.101	0.00281	0.06306	8.16105	0	0	0	0	0	0	0.00083	0.00349	0.82827	0	0	0	0	0	0.03158	0.00051	0.01149	0.05436	0.00538	0.01094	0	0.01286	0.05141	0.00767	0.03295	0.54725	0.0446	0	0	0	0.05212	0.03349	0.38059	0.08261	0.04625
Bacteroides_eggerthii	0.81073	0	0	0	0	0	0	0	0	0	0.86761	0	0.03158	0	0	0	0	0	0	0	0.00464	0	0	0	0	0	0	0	0	0	0	0	0.00518	0	0	0.04942	0.01769	0.03684	0	0.26735	0	0	0	0	0	0	0	0	0.0397	0.00067	0	2.67521	0	0	0	0	0	0	0	0.01392	1.45199	0	0	0	0.00114	0	0.47318	0	0	0.00624	0.58157	0.16251	0.74885	0	0	0	0.0052	0.45043	0	0	0	0	0	0	0.43851	0	0	0	0	0	0	0	0.00101	0	0	0.0262	0	0	0.12399	0	0	1.86167	1.16035	0.08544	0.11405	0	0	0	0.13084	0	0	0	0.00288	0.01209	0	0	0	0.02973	0.33865	0	0.13895	0	0	0	0	0.00584	0.68525	0.47527	0.00806	0	2.99038	0	5.35925	0	0.21834	0	0.06768	0	1.86366	0	0	0	0	0.00556	0.01061	0	0.00104	0	0	0.00676	10.74511	0.00216	0.00867	0	0	0	0	0.00166	0.92741	0	0.877	4.04159	0.0003	0.00081	0	0	37.88348	0	0
Streptococcus_thermophilus	0	5.23899	0	5.31495	0	0	3.10249	2.68395	0	0.03019	0.00876	0.00116	4.06371	0	0	0	0	0.67985	0.0651	0.23592	0	0	0	0	0.08841	4.6944	20.8853	0	0	0.0117	0	0	0	0	0.0053	0	0.02696	0	0	0	0.00634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62423	0	0	0.01385	0.00532	0	0	0.051	0	0	0	0	0.0027	0	0.00084	0.36264	0	0	0	0	0	0	0	0	0	0	0.04866	2.03747	0	0.17596	0	0.01979	0	0	0.06409	0.00191	0	7.89918	0	0	0	0.00935	0	0	0	0	0	0	0	0.03354	0	3.42988	0	0.03088	0	35.30953	0	0.05019	0	0	0.00138	0	0	0	0	0	0	0	0	1.35332	0	0	0	0.28068	0	0	0	0	0	0	0	0	0.55415	0.02166	0.07546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62679	0	0	0	0.01719	0	0
Bacteroides_fragilis	9e-05	0.00244	0.67746	0.58681	1.84907	0.01198	0	0.11098	0	0	0.21152	4.11566	0	0	0.00174	0.864	0	0.48252	0	0.15868	0.0034	0	0	0.35028	3.78668	0.05409	0.19097	0.91527	0.01753	0.02804	0.00543	0.07045	0.00419	0.03509	0.44963	0.00794	0	0	5.15724	0	0.09792	2.80152	0.00239	0.04213	0.14496	0	0.4259	0.00948	0.0044	0	0.67438	0.65163	3.70656	0	0	0	0	1.44682	0.02215	0.00075	0.26412	0	0.05211	0.01613	0	0.30827	0	0	0	0	0	0.03079	0	0.21018	0.46264	0	0	2.38936	1.50565	0.00177	0.47017	0.41135	1.11347	0	0	0	0	1.37157	2.01953	0.65974	0.06565	0.52838	0	0.17003	0	0	1.89864	1.13328	1.64742	2.77488	0	0.30322	0.00273	0	0	0.03738	0.00144	0.76214	0.00559	0.00082	0.01919	1.7674	0.10205	0.0904	0.00175	0.0456	0.00705	0.31356	0.00188	0	0	0.65938	0	0.70437	0.64073	0	0.25477	0.90901	0.25861	0.00519	0.21053	0	1.3678	0.03633	1.07213	0	0	0	0.02913	0	0.18374	0.6962	34.78084	0	0	0.5758	0.23198	0	6.05346	0.00594	0.0315	0.16771	0.00034	0	0.00923	0.04328	11.11668	0.01121	0.27178	0.02366	4.54566	2.83628	0.11799	0.79781	6.97755	5.7971	0.78428	0.82728	0.0066
GGB4579_SGB6329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02861	0	0.00684	0	0	0	0	0.13326	0.74744	0.06744	0	0.08502	0	0	0	0.46892	0.0044	0	0	0	0	0	0	0	1.33286	0	0	0	0.00878	0.00856	0	0.04037	0	0	0.00313	0	0	0	0.00394	0	0	0.94328	0	0	0.01126	0	0	0.23295	0	0	0	0	0	0	0	0	0	32.63438	0	0	0	0	0	0	0	0	0	0	0	0	0	0.68699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemmiger_formicilis	1.08515	0.00771	0	31.76701	0	0.09754	0	0.19637	11.2105	0.16152	0	0	4.74453	1.69344	0.78695	3.65671	1.91013	0	0	12.15477	0	0.46377	5.72364	0	0	5.46485	0.00061	0	17.11841	1.48612	0	10.42388	2.26704	0	0	0.41492	0.24662	0	0	1.1486	5.34091	1.5165	0.56935	0	0	1.03922	0	0	2.4468	0.99494	1.84801	2.74804	1.02014	0	0.25813	0.83547	0	0	0	0.0146	3.219	2.96563	1.73682	4.67509	4.60564	0	0.3851	1.83777	8.97148	0.43323	0.74206	0.51938	0.0919	0.00217	0	0	0.00102	7.02428	0.58482	1.72804	0.64738	0	1.26164	1.79039	0.3973	3.49234	1.04424	0	0.04618	0.35009	0.26963	1.24597	0.35617	0.65168	0.89488	0.38759	0.10447	0.27831	0.41217	2.84832	0.49593	0.67927	2.24133	0.98676	1.47324	0.64297	0.64496	4.51269	2.97581	5.30159	4.67507	0	5.22351	0	2.11374	0.03738	0.04873	0.60788	0.32501	0.78652	1.25009	0.001	0.16564	0.72618	0.11653	0.35061	4.51172	0.4816	0.80825	12.39	2.28226	3.93045	0	0.19356	4.20675	1.16822	0.57974	1.48703	6.40214	1.78689	1.85161	19.2714	0	0	0.00685	0	0.06279	0.21626	0	0.00872	0	0.06269	0.3726	0.19802	0.15864	0.10507	0	0.01793	0.33585	0	0.17991	0.01821	0.03202	0.07389	0	0	0.02985	0.18855	0
Bacteroides_stercoris	0	0.03174	2.73019	3.0375	0	0.18197	0	4.7195	0.01091	0.35594	0	0.09448	0.07921	0.04332	0.12652	3.67422	0.13674	0	0.04854	0	0.23698	2.21461	0.03708	0	1.92392	0.18865	0	0.01521	0.0993	0.00491	0.05285	0.73152	0.06509	0	0.20264	0.02978	0.02193	0.01301	0	0.47041	0.42805	0	0	0	0	0	0	0.03967	0.26637	0	19.62925	3.30089	5.32355	0	4.66947	2.90924	8.55701	2.01568	0.29146	9.77014	0.79192	0.55077	0.65375	0.36178	1.87683	0	17.57163	0.98032	9.90205	0.14049	0	2.46026	0.80701	0.77435	4.10384	0	0.99284	1.42425	0.00107	1.39948	0.18761	0	0	1.30162	0.46428	0.7979	0.1071	1.41354	0	0.01968	2.68306	6.92402	0.02663	0.03416	0.19939	0.02788	0	1.12158	0.52947	2.63456	0.09148	1.4744	0.07475	0	0.25701	0.06557	0.03472	0	0.00729	0.02385	0.00483	0	0.34215	0.07757	0.03973	0.0082	0.01807	0.96401	0.13194	0	0.47035	13.61358	0.00079	0.2312	0.49459	0.16594	1.42703	0.37692	0.05929	0.01284	0.60915	0.0401	0	0.04335	0.03441	0	0.24867	0.38952	1.75926	0.87989	0.49033	0.76335	0.01169	3.57668	1.9706	10.23648	30.92402	3.22338	0.0103	0.318	14.84722	0.00724	5.29012	0.00569	0.02254	0.00187	0.05479	1.50017	7.38686	31.49031	3.38814	2.19698	1.97869	18.64967	31.34402	13.36087	0.02645	0.01711	0.00678
Prevotella_sp_885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.52989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.07567	0.00544	0	0	0	0	0	0
GGB4567_SGB6307	0.06705	0	0	0	0	0	0	0	0	0	0	0	0	2.72375	2.08765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.80531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0176	0	0	0	0	0	0	0	0	0.00029	0.00262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01215	0	0	0	0	0	29.22236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parabacteroides_distasonis	0.1546	0	0.35799	0.89648	28.94111	0.11947	0	0.88988	0.31165	0.06732	0.08749	0.3743	0.50787	0.06511	0.07956	0.45323	0.11091	5.23674	0	0.22605	0.18579	1.3326	0.2372	0.05885	1.34484	0.03257	0.00146	0	0.01896	0.01885	0.00468	0.64944	0.04732	0.30805	0.13303	0.10178	0.058	0.4283	0.89832	0.02835	0.03941	0.1058	0.09151	0.12823	0.25899	0.04123	0.05297	0.01494	0.03805	0.06005	0.65671	0.58149	0.08599	0.20378	1.40224	0.86401	0	0.04861	0.79609	2.41348	0.42897	0.5449	0.05651	0.10667	0.36457	1.8938	1.18121	0.06897	0.94259	0.13278	0.17128	0.68549	0.22552	0.09621	0.62904	0.3981	0.71716	0.89437	0	0.61086	0.22242	0.18841	3.75984	0.28478	0.09415	0.36382	0.78824	0.14765	0.95447	0.26704	0.20032	1.1572	0.16	0.0202	0.10033	0.27213	1.725	0.06758	0.64756	0.08734	0.04366	0.14626	0.32478	0.12072	0.27621	0.0812	0.04468	0.75069	0.23607	0.00794	0.01367	0.94201	0.07506	0.67276	0.0002	0.0069	0.00465	0.14846	0.31321	0.00641	0.07244	2.93704	1.38376	0.40597	0.1067	0.82338	0.12673	0.26047	0.13717	0.00158	0.8338	0.04617	0.694	0.15012	0.21814	0.11986	0.16491	0.01129	0.17675	0.58407	0.14709	0	17.57565	1.3829	0.46374	0.97362	0.68467	1.17325	2.18309	1.15868	1.18285	2.89065	0.55898	9.19047	0.20258	2.93342	0.00034	2.08231	0.70048	1.17815	1.90842	0.7297	0.96642	2.04495	4.83549	1.19098	2.29594	2.74659	0.22427
Eubacterium_rectale	0	5.50696	0.00102	2.89432	0	0.56996	0	2.77241	2.93454	1.48366	0	0.12229	0.82857	2.6085	2.35728	0	0.55951	2.06926	7.29604	0	0	0.50975	0.3434	0.00657	0	3.82656	0.005	0.00765	20.93496	0.84479	0.14116	2.37752	0.02405	0	0.01025	0.23524	2.0789	0	0.00866	10.08713	0.17068	0.70708	9.97766	0	0.01868	2.0905	0	0.0001	3.27508	0.06038	1.67263	0.265	7.87868	0	18.34571	19.72647	0.0099	0.7925	0	1.14208	1.37525	0.10047	2.57632	17.19527	1.9663	14.95302	10.84045	3.12579	7.03442	1.9619	6.61215	10.13801	8.02348	4.13326	1.82014	1.45865	9.63516	1.20875	6.35806	4.67693	16.55304	0	3.63246	0.39522	0.39328	23.33692	4.52439	6.56313	7.11227	8.74439	10.09227	1.56205	7.19551	7.90169	0.10479	14.09638	5.6596	0.28618	4.00099	11.06474	12.23714	18.18235	0.01379	5.49106	7.00015	9.17027	0.58654	7.68034	11.73322	10.66376	18.52275	2.20891	8.76145	19.00588	0.0257	0.00128	0.64473	4.18535	28.08997	0.32841	3.05044	0.02256	0.70399	7.30145	0.00207	0.02336	0.59328	2.05151	0.10231	5.99648	2.35793	0.00519	0.00054	6.32642	0	20.3394	6.46246	6.87046	0.92987	4.81211	5.68046	0.57153	0	0.14959	0.08433	0.09772	1.03134	0.98338	0	5.62042	0.00032	0.18225	0.21432	0.05047	0.56254	0.06471	0.31687	0.14236	0.37269	0	0	1.55697	0.02922	0.5114	0.09302	0	0.69964	0.00055	0.20807
Dorea_longicatena	0.42826	0	0	0	0.00227	0.8046	0	0	0.96696	0.1921	1.56495	3.86121	0.9465	0.56595	0.63666	0.23518	0.08883	0.32576	1.66409	0	1.7117	0.46323	0.25119	0	0.06198	1.34838	3.27084	28.06164	1.61817	1.83978	1.51354	0.65113	2.0626	0	0.12272	0.4703	0.70387	0	0	1.03516	0.32693	0.09066	1.2764	0	2.52116	2.18124	6.17048	0	1.37597	0.93297	0.04435	0.088	0.02334	0	0.16283	0.02551	0	0.14061	0	0.25743	0.07931	0.05986	1.16429	0.03224	0	0.11246	0.12247	0.03932	0.03506	0.20216	0.16255	0.02843	0.11473	0.35785	0.09908	0.29087	0.15157	0.05269	1.21297	0.09348	1.10839	0.01485	0.04103	0.12488	0.02526	0.05907	0.73706	0.03645	0.7135	0.03366	0.44111	0.33025	0.03087	2.43884	0.32152	0.35249	0.03493	0.72516	0.05233	0.07003	0.45787	0.06892	0.07475	0.26853	0.08445	0.00321	0.18229	0.11301	0.26945	0.80943	0.16548	0.44597	0.3477	0.02529	0.42235	0.01475	0.93278	0.07177	0.01178	0.06856	0.07588	0.15739	0.67156	0.04355	0.00122	0.0041	0.31338	0.06993	0.51932	1.36324	0.0577	0.34891	0.08277	0.56141	0.0498	0.10691	0.05726	1.3068	0.00718	0.02203	0.07296	0.1644	0	0.05796	0.02751	0.0646	0.01088	0.18779	0.04064	0.07796	0.01203	0.00542	0.02673	0.00462	0.01616	0.06484	0	0.0097	0.09999	0	0.00563	0.01891	0.00307	0.03463	0.07018	0.02177	0.01581	0.0728	0
Segatella_sinica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.14978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.89693	0	0	0	0	0	0	27.40151	0	0	0	0	0	0	0.00042	0.00891	0	0	0	0	0	0	0	0	0.0031	0	0	0	0	0	0	0
Bifidobacterium_adolescentis	0.77727	0	0	0	0	2.44595	0	0	0	0	12.30796	0	0.95491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.96627	0	0	1.14362	0	26.94798	0.08672	0	0	0.37978	0	0	0.35575	0	0	0	0.17709	0	0	0	3.98619	0.31656	0	0	0	3.31681	0	0	0	0	0	0	0.00108	2.06466	1.48393	0.073	0	2.76917	1.61797	0	0.01177	0.04171	0.312	0	7e-05	0	0.00517	0.05067	0.16279	0	0.10965	0	0	0	0	0	4.38088	0.03352	0	0	0	0	0.00855	0.22621	0.11433	0	0.15397	0	0.00576	0	0	0.01513	0	0	0.12759	0.20856	0.59509	0.57325	0	0.45656	3.72175	21.42059	0	5.05245	0.4264	0.03655	0	0.00795	14.3693	0	0.92783	0	0	0.02133	0.42107	0	0.0611	0.00126	0	0	2.12067	0.04581	0	0	0.02636	1.19521	0	0.08142	2.02424	0	0	0	0	0	0	0	0	0	0.00785	0	0.28516	0	0	0.01766	0	0	0	0	0	0	0	0	0.00357	0	0	0	0.05902	0	0	0
